,address_geocoded,displayLongitude,displayLatitude,address
85,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
86,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
87,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
88,"проспект Бауыржана Момышулы 2/2, 010010 Нұр-Сұлтан, Қазақстан",71.46218,51.13482,"пр. Б.Момышулы, д. 2/2"
89,"проспект Бауыржана Момышулы 4, 010010 Нұр-Сұлтан, Қазақстан",71.47048,51.13747,"пр. Б.Момышулы, д. 4"
90,"проспект Бауыржана Момышулы 5, 010010 Нұр-Сұлтан, Қазақстан",71.46353,51.13731,"пр. Б.Момышулы, д. 5"
91,"проспект Богенбай батыра 2, 010000 Нұр-Сұлтан, Қазақстан",71.38898,51.17713,"пр. Богенбай батыра, д. 2"
92,"проспект Богенбай батыра 26, 010000 Нұр-Сұлтан, Қазақстан",71.40429,51.17457,пр. Богенбай батыра д. 26
93,"проспект Богенбай батыра 26, 010000 Нұр-Сұлтан, Қазақстан",71.40429,51.17457,"пр. Богенбай батыра, д. 26"
94,"проспект Богенбай батыра 26, 010000 Нұр-Сұлтан, Қазақстан",71.40429,51.17457,"пр. Богенбай Батыра, д. 26"
95,"проспект Богенбай батыра 27, 010000 Нұр-Сұлтан, Қазақстан",71.40472,51.17588,"пр. Богенбай батыра, д. 27"
96,"проспект Богенбай батыра 28, 010000 Нұр-Сұлтан, Қазақстан",71.4051,51.17464,"пр. Богенбай батыра, д. 28"
97,"проспект Богенбай батыра 28, 010000 Нұр-Сұлтан, Қазақстан",71.4051,51.17464,"пр. Богенбай батыра, д. 28"
98,"проспект Богенбай батыра 34, 010000 Нұр-Сұлтан, Қазақстан",71.40938,51.17516,"пр. Богенбай батыра, д. 34"
99,"проспект Богенбай батыра 47, 010000 Нұр-Сұлтан, Қазақстан",71.41953,51.17704,"пр. Богенбай батыра, д. 47"
100,"проспект Богенбай батыра 53, 010000 Нұр-Сұлтан, Қазақстан",71.42545,51.17784,"пр. Богенбай Батыра, д. 53"
101,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
102,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
103,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
104,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
105,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
106,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай Батыра, д. 54"
107,"проспект Богенбай батыра 62, 010000 Нұр-Сұлтан, Қазақстан",71.4356,51.17777,"пр. Богенбай батыра, д. 62"
108,"проспект Богенбай батыра 62, 010000 Нұр-Сұлтан, Қазақстан",71.4356,51.17777,"пр. Богенбай батыра, д. 62"
109,"проспект Богенбай батыра 62, 010000 Нұр-Сұлтан, Қазақстан",71.4356,51.17777,"пр. Богенбай батыра, д. 62"
110,"проспект Богенбай батыра 62, 010000 Нұр-Сұлтан, Қазақстан",71.4356,51.17777,"пр. Богенбай Батыра, д. 62"
111,"проспект Богенбай батыра 63, 010000 Нұр-Сұлтан, Қазақстан",71.4325,51.17863,"пр. Богенбай батыра, д. 63"
112,"проспект Богенбай батыра 63, 010000 Нұр-Сұлтан, Қазақстан",71.4325,51.17863,"пр. Богенбай батыра, д. 63"
113,"проспект Богенбай батыра 69, 010000 Нұр-Сұлтан, Қазақстан",71.43525,51.17891,"пр. Богенбай батыра, д. 69"
114,"проспект Богенбай батыра 69, 010000 Нұр-Сұлтан, Қазақстан",71.43525,51.17891,"пр. Богенбай Батыра, д. 69"
115,"проспект Богенбай батыра 6B, 010000 Нұр-Сұлтан, Қазақстан",71.39208,51.17638,"пр. Богенбай батыра, д. 6Б"
116,"проспект Богенбай батыра 6B, 010000 Нұр-Сұлтан, Қазақстан",71.39208,51.17638,"пр. Богенбай Батыра, д. 6Б"
117,"проспект Богенбай батыра 71, 010000 Нұр-Сұлтан, Қазақстан",71.43661,51.1797,"пр. Богенбай батыра, д. 71, уг. ул. Валиханова"
118,"проспект Богенбай батыра 6, 010000 Нұр-Сұлтан, Қазақстан",71.39177,51.17662,"пр. Богенбай Батыра, стр. 6/4"
119,"улица Достык 13, 010000 Нұр-Сұлтан, Қазақстан",71.43489,51.12668,"пр. Достык, д. 13"
120,"улица Достык 9, 010000 Нұр-Сұлтан, Қазақстан",71.42535,51.12793,"пр. Достык, д. 9"
121,"улица Достык 9, 010000 Нұр-Сұлтан, Қазақстан",71.42535,51.12793,"пр. Достык, д. 9"
122,"проспект Женис 13, 010000 Нұр-Сұлтан, Қазақстан",71.41307,51.16741,"пр. Женис, д. 13"
123,"проспект Женис 25, 010000 Нұр-Сұлтан, Қазақстан",71.41209,51.17052,"пр. Женис, д. 25"
124,"проспект Женис 29, 010000 Нұр-Сұлтан, Қазақстан",71.41168,51.17194,"пр. Женис, д. 29"
125,"проспект Женис 33, 010000 Нұр-Сұлтан, Қазақстан",71.41052,51.17314,"пр. Женис, д. 33"
126,"проспект Женис 67, 010011 Нұр-Сұлтан, Қазақстан",71.40784,51.18556,"пр. Женис, д. 67"
127,"проспект Женис 71, 010011 Нұр-Сұлтан, Қазақстан",71.40756,51.18679,"пр. Женис, д. 71"
128,"проспект Женис 72, 010011 Нұр-Сұлтан, Қазақстан",71.40734,51.19027,"пр. Женис, д. 72"
129,"проспект Кабанбай батыра 119, 010000 Нұр-Сұлтан, Қазақстан",71.46134,51.02684,"пр. Кабанбай батыра, д. 119"
130,"проспект Кабанбай батыра 119, 010000 Нұр-Сұлтан, Қазақстан",71.46134,51.02684,"пр. Кабанбай Батыра, д. 119"
131,"проспект Кабанбай батыра 12, 010001 Нұр-Сұлтан, Қазақстан",71.42069,51.14323,"пр. Кабанбай батыра, д. 12"
132,"проспект Кабанбай батыра 13/2, 010000 Нұр-Сұлтан, Қазақстан",71.41453,51.1372,"пр. Кабанбай Батыра, д. 13/2"
133,"проспект Кабанбай батыра 13/2, 010000 Нұр-Сұлтан, Қазақстан",71.41453,51.1372,"пр. Кабанбай Батыра, д. 13/2"
134,"проспект Кабанбай батыра 15A, 010000 Нұр-Сұлтан, Қазақстан",71.41435,51.13599,"пр. Кабанбай батыра, д. 15A"
135,"проспект Кабанбай батыра 15A, 010000 Нұр-Сұлтан, Қазақстан",71.41435,51.13599,"пр. Кабанбай батыра, д. 15A"
136,"проспект Кабанбай батыра 15A, 010000 Нұр-Сұлтан, Қазақстан",71.41435,51.13599,"пр. Кабанбай Батыра, д. 15A"
137,"проспект Кабанбай батыра 17, 010000 Нұр-Сұлтан, Қазақстан",71.41387,51.13397,"пр. Кабанбай батыра, д. 17"
138,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
139,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
140,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
141,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
142,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
143,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай Батыра, д. 21"
144,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай Батыра, д. 21"
145,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай Батыра, д. 21"
146,"проспект Кабанбай батыра 2A, 010001 Нұр-Сұлтан, Қазақстан",71.42524,51.14871,"пр. Кабанбай батыра, д. 2 А"
147,"проспект Кабанбай батыра 30, 010000 Нұр-Сұлтан, Қазақстан",71.41582,51.13216,"пр. Кабанбай батыра, д. 30"
148,"проспект Кабанбай батыра 30, 010000 Нұр-Сұлтан, Қазақстан",71.41582,51.13216,"пр. Кабанбай батыра, д. 30"
149,"проспект Кабанбай батыра 30, 010000 Нұр-Сұлтан, Қазақстан",71.41582,51.13216,"пр. Кабанбай батыра, д. 30"
150,"проспект Кабанбай батыра 34/1, 010000 Нұр-Сұлтан, Қазақстан",71.41586,51.12953,"пр. Кабанбай батыра, д. 34/1"
151,"проспект Кабанбай батыра 34/1, 010000 Нұр-Сұлтан, Қазақстан",71.41586,51.12953,"пр. Кабанбай батыра, д. 34/1"
152,"проспект Кабанбай батыра 39, 010000 Нұр-Сұлтан, Қазақстан",71.41057,51.11886,"пр. Кабанбай батыра, д. 39"
153,"проспект Кабанбай батыра 40, 010000 Нұр-Сұлтан, Қазақстан",71.41448,51.12112,пр. Кабанбай Батыра д. 40
154,"проспект Кабанбай батыра 45, 010000 Нұр-Сұлтан, Қазақстан",71.4096801,51.1096251,"пр. Кабанбай Батыра, д. 43В"
155,"проспект Кабанбай батыра 46A, 010000 Нұр-Сұлтан, Қазақстан",71.4136,51.11531,"пр. Кабанбай батыра, д. 46а"
156,"проспект Кабанбай батыра 5/1, 010000 Нұр-Сұлтан, Қазақстан",71.41721,51.14414,"пр. Кабанбай Батыра, д. 5/1"
157,"проспект Кабанбай батыра 53, 010000 Нұр-Сұлтан, Қазақстан",71.40025,51.09011,"пр. Кабанбай батыра, д. 53"
158,"проспект Кабанбай батыра 53, 010000 Нұр-Сұлтан, Қазақстан",71.40025,51.09011,"пр. Кабанбай батыра, д. 53"
159,"проспект Кабанбай батыра 58B, 010000 Нұр-Сұлтан, Қазақстан",71.40649,51.09549,"пр. Кабанбай Батыра, д. 58 б"
160,"проспект Кабанбай батыра 58B, 010000 Нұр-Сұлтан, Қазақстан",71.40649,51.09549,"пр. Кабанбай Батыра, д. 58Б"
161,"проспект Кабанбай батыра 6/1, 010000 Нұр-Сұлтан, Қазақстан",71.42344,51.14617,"пр. Кабанбай батыра, д. 6/1"
162,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
163,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
164,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
165,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
166,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
167,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай батыра, д. 62"
168,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай Батыра, д. 62"
169,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай Батыра, д. 62"
170,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай Батыра, д. 62"
171,"проспект Кабанбай батыра 6/2, 010000 Нұр-Сұлтан, Қазақстан",71.42399,51.14602,"пр. Кабанбай Батыра, д. 62"
172,"проспект Кабанбай батыра 6/4, 010000 Нұр-Сұлтан, Қазақстан",71.42332,51.14584,"пр. Кабанбай батыра, д. 6/4"
173,"проспект Кабанбай батыра 6/4, 010000 Нұр-Сұлтан, Қазақстан",71.42332,51.14584,"пр. Кабанбай батыра, д. 6/4"
174,"проспект Рахимжана Кошкарбаева 1/1, 010010 Нұр-Сұлтан, Қазақстан",71.46561,51.12875,"пр. Кошкарбаева, д. 1/1"
175,"проспект Рахимжана Кошкарбаева 26, 010010 Нұр-Сұлтан, Қазақстан",71.47733,51.12583,"пр. Кошкарбаева, д. 26"
176,"проспект Рахимжана Кошкарбаева 56, 010010 Нұр-Сұлтан, Қазақстан",71.50302,51.1305205,"пр. Кошкарбаева, д. 56"
177,"проспект Рахимжана Кошкарбаева 56, 010010 Нұр-Сұлтан, Қазақстан",71.50302,51.1305205,"пр. Кошкарбаева, д. 56"
178,"проспект Рахимжана Кошкарбаева 64, 010009 Нұр-Сұлтан, Қазақстан",71.52809,51.14034,"пр. Кошкарбаева, д. 64"
179,"проспект Рахимжана Кошкарбаева 8, 010010 Нұр-Сұлтан, Қазақстан",71.46703,51.12746,"пр. Кошкарбаева, д. 8"
180,"проспект Рахимжана Кошкарбаева 8, 010010 Нұр-Сұлтан, Қазақстан",71.46703,51.12746,"пр. Кошкарбаева, д. 8"
181,"проспект Шакарим Кудайбердиулы 18A, 010009 Нұр-Сұлтан, Қазақстан",71.48601,51.16114,"пр. Кудайбердиулы, д. 18а"
182,"проспект Шакарим Кудайбердиулы 19, 010009 Нұр-Сұлтан, Қазақстан",71.49874,51.15705,"пр. Кудайбердиулы, д. 19"
183,"проспект Шакарим Кудайбердиулы 25/1, 010009 Нұр-Сұлтан, Қазақстан",71.50514,51.15519,"пр. Кудайбердиулы, д. 25/1"
184,"проспект Шакарим Кудайбердиулы 38A, 010009 Нұр-Сұлтан, Қазақстан",71.49961,51.15585,"пр. Кудайбердиулы, д. 38а"
185,"проспект Шакарим Кудайбердиулы 34, 010009 Нұр-Сұлтан, Қазақстан",71.49579,51.1574,"пр. Кудайбердыулы, д. 34"
186,"проспект Шакарим Кудайбердиулы 42, 010009 Нұр-Сұлтан, Қазақстан",71.50384,51.15425,"пр. Кудайбердыулы, д. 42"
187,"улица Динмухамеда Конаева 33, 010000 Нұр-Сұлтан, Қазақстан",71.43445,51.13067,"пр. Кунаева, д. 33"
188,"проспект Мангилик Ел 16/1, 010018 Нұр-Сұлтан, Қазақстан",71.43721,51.11814,"пр. Мангелик Ел, д. 16/1"
189,"проспект Мангилик Ел 10, 010000 Нұр-Сұлтан, Қазақстан",71.43908,51.12492,"пр. Мангилик Ел, д. 10"
190,"проспект Мангилик Ел 19, 010000 Нұр-Сұлтан, Қазақстан",71.43282,51.11429,"пр. Мангилик Ел, д. 19"
191,"проспект Мангилик Ел 19, 010000 Нұр-Сұлтан, Қазақстан",71.43282,51.11429,"пр. Мангилик Ел, д. 19"
192,"проспект Мангилик Ел 19, 010000 Нұр-Сұлтан, Қазақстан",71.43282,51.11429,"пр. Мангилик Ел, д. 19"
193,"проспект Мангилик Ел 19, 010000 Нұр-Сұлтан, Қазақстан",71.43282,51.11429,"пр. Мангилик Ел, д. 19"
194,"проспект Мангилик Ел 19/2, 010000 Нұр-Сұлтан, Қазақстан",71.43129,51.11453,пр. Мангилик Ел д. 19/2
195,"проспект Мангилик Ел 19/2, 010000 Нұр-Сұлтан, Қазақстан",71.43129,51.11453,пр. Мангилик Ел д. 19/2
196,"проспект Мангилик Ел 2, 010000 Нұр-Сұлтан, Қазақстан",71.44125,51.12776,"пр. Мангилик Ел, д. 2"
197,"проспект Мангилик Ел 20, 010018 Нұр-Сұлтан, Қазақстан",71.43552,51.11694,"пр. Мангилик Ел, д. 20"
198,"проспект Мангилик Ел 20, 010018 Нұр-Сұлтан, Қазақстан",71.43552,51.11694,"пр. Мангилик Ел, д. 20"
199,"проспект Мангилик Ел 27, 010018 Нұр-Сұлтан, Қазақстан",71.43022,51.10927,"пр. Мангилик Ел, д. 27"
200,"проспект Мангилик Ел 4, 010000 Нұр-Сұлтан, Қазақстан",71.44127,51.12784,"пр. Мангилик Ел, д. 4"
201,"проспект Мангилик Ел 43, 010018 Нұр-Сұлтан, Қазақстан",71.42646,51.10077,"пр. Мангилик Ел, д. 43"
