,address_geocoded,displayLongitude,displayLatitude,address
57,"проспект Богенбай батыра 26, 010000 Нұр-Сұлтан, Қазақстан",71.40429,51.17457,"пр. Богенбай батыра, д. 26"
58,"проспект Богенбай батыра 54, 010000 Нұр-Сұлтан, Қазақстан",71.42629,51.17692,"пр. Богенбай батыра, д. 54"
59,"проспект Богенбай батыра 56, 010000 Нұр-Сұлтан, Қазақстан",71.42822,51.17707,"пр. Богенбай батыра, д. 56"
60,"проспект Богенбай батыра 63, 010000 Нұр-Сұлтан, Қазақстан",71.4325,51.17863,"пр. Богенбай батыра, д. 63"
61,"проспект Богенбай Батыра 6/5, 010000 Нұр-Сұлтан, Қазақстан",71.3928,51.17463,"пр. Богенбай Батыра, д. 6/5"
62,"проспект Богенбай батыра 6B, 010000 Нұр-Сұлтан, Қазақстан",71.39208,51.17638,"пр. Богенбай батыра, д. 6Б"
63,"проспект Богенбай батыра 73/1, 010000 Нұр-Сұлтан, Қазақстан",71.43752,51.17979,"пр. Богенбай батыра, д. 73/1"
64,"проспект Женис 10, 010000 Нұр-Сұлтан, Қазақстан",71.41478,51.16493,"пр. Женис, д. 10"
65,"проспект Женис 2, 010000 Нұр-Сұлтан, Қазақстан",71.41541,51.16095,"пр. Женис, д. 2"
66,"проспект Женис 20, 010000 Нұр-Сұлтан, Қазақстан",71.41344,51.16952,"пр. Женис, д. 20"
67,"проспект Женис 25, 010000 Нұр-Сұлтан, Қазақстан",71.41209,51.17052,"пр. Женис, д. 25, ВП-1"
68,"проспект Женис 25, 010000 Нұр-Сұлтан, Қазақстан",71.41209,51.17052,"пр. Женис, д. 25, ВП-1"
69,"проспект Женис 47, 010000 Нұр-Сұлтан, Қазақстан",71.4094,51.17968,"пр. Женис, д. 47"
70,"проспект Женис 63, 010000 Нұр-Сұлтан, Қазақстан",71.40838,51.18397,"пр. Женис, д. 63"
71,"проспект Женис 70, 010011 Нұр-Сұлтан, Қазақстан",71.4075,51.18977,"пр. Женис, д. 70"
72,"проспект Женис 8/1, 010000 Нұр-Сұлтан, Қазақстан",71.41491,51.16445,"пр. Женис, д. 8/1"
73,"проспект Женис 8/1, 010000 Нұр-Сұлтан, Қазақстан",71.41491,51.16445,"пр. Женис, д. 8/1"
74,"проспект Кабанбай батыра 11/1, 010000 Нұр-Сұлтан, Қазақстан",71.41348,51.14103,"пр. Кабанбай Батыра, д. 105"
75,"проспект Кабанбай батыра 2, 010001 Нұр-Сұлтан, Қазақстан",71.42524,51.14871,"пр. Кабанбай Батыра, д. 2"
76,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
77,"проспект Кабанбай батыра 21, 010000 Нұр-Сұлтан, Қазақстан",71.412,51.12652,"пр. Кабанбай батыра, д. 21"
78,"проспект Кабанбай батыра 40, 010000 Нұр-Сұлтан, Қазақстан",71.41448,51.12112,"пр. Кабанбай батыра, д. 40"
79,"проспект Кабанбай батыра 42, 010000 Нұр-Сұлтан, Қазақстан",71.41415,51.11993,"пр. Кабанбай батыра, д. 42"
80,"проспект Кабанбай батыра 46A, 010000 Нұр-Сұлтан, Қазақстан",71.4136,51.11531,"пр. Кабанбай батыра, д. 46А"
81,"проспект Кабанбай батыра 48, 010000 Нұр-Сұлтан, Қазақстан",71.41222,51.11399,"пр. Кабанбай Батыра, д. 48/7"
82,"проспект Кабанбай батыра 5/1, 010000 Нұр-Сұлтан, Қазақстан",71.41721,51.14414,"пр. Кабанбай батыра, д. 5/1"
83,"проспект Кабанбай батыра 9/5, 010000 Нұр-Сұлтан, Қазақстан",71.41682,51.14235,"пр. Кабанбай Батыра, д. 9/5"
84,"проспект Рахимжана Кошкарбаева 56, 010010 Нұр-Сұлтан, Қазақстан",71.50302,51.1305205,"пр. Кошкарбаева, д. 56"
85,"проспект Шакарим Кудайбердиулы 25/1, 010009 Нұр-Сұлтан, Қазақстан",71.50514,51.15519,"пр. Кудайбердиулы, д. 25/1"
86,"проспект Шакарим Кудайбердиулы 28, 010009 Нұр-Сұлтан, Қазақстан",71.49402,51.15786,"пр. Кудайбердиулы, д. 28"
87,"проспект Шакарим Кудайбердиулы 7, 010009 Нұр-Сұлтан, Қазақстан",71.49064,51.1601,"пр. Кудайбердиулы, д. 7"
88,"проспект Мангилик Ел 17A, 010000 Нұр-Сұлтан, Қазақстан",71.43258,51.11652,"пр. Мангилик Ел, д. 17 А"
